,DATE,STATION,ENTRIES,EXITS
455,02/22/2021,PATH NEW WTC,10788,10864
456,02/23/2021,NEWARK HW BMEBE,945,1557
457,02/23/2021,HARRISON,2155,2549
458,02/23/2021,JOURNAL SQUARE,8991,7105
459,02/23/2021,GROVE STREET,4256,4913
460,02/23/2021,EXCHANGE PLACE,2712,3309
461,02/23/2021,PAVONIA/NEWPORT,2507,3030
462,02/23/2021,CITY / BUS,2869,3183
463,02/23/2021,CHRISTOPHER ST,959,1086
464,02/23/2021,9TH STREET,937,1246
465,02/23/2021,14TH STREET,2027,2632
466,02/23/2021,TWENTY THIRD ST,1667,2200
467,02/23/2021,THIRTY ST,2621,2555
468,02/23/2021,LACKAWANNA,1511,1617
469,02/23/2021,THIRTY THIRD ST,4434,3620
470,02/23/2021,NEWARK BM BW,5378,410
471,02/23/2021,NEWARK C,1118,402
472,02/23/2021,NEWARK HM HE,0,6082
473,02/23/2021,PATH WTC 2,1157,3044
474,02/23/2021,PATH NEW WTC,11937,12016
475,02/24/2021,NEWARK HW BMEBE,959,1560
476,02/24/2021,HARRISON,2241,2440
477,02/24/2021,JOURNAL SQUARE,9104,7414
478,02/24/2021,GROVE STREET,4386,4401
479,02/24/2021,EXCHANGE PLACE,2825,3331
480,02/24/2021,PAVONIA/NEWPORT,2749,3004
481,02/24/2021,CITY / BUS,3227,3574
482,02/24/2021,CHRISTOPHER ST,1024,1235
483,02/24/2021,9TH STREET,1006,1342
484,02/24/2021,14TH STREET,2203,2808
485,02/24/2021,TWENTY THIRD ST,1785,2329
486,02/24/2021,THIRTY ST,2702,2844
487,02/24/2021,LACKAWANNA,1508,1772
488,02/24/2021,THIRTY THIRD ST,4607,3598
489,02/24/2021,NEWARK BM BW,5506,323
490,02/24/2021,NEWARK C,1271,298
491,02/24/2021,NEWARK HM HE,0,6406
492,02/24/2021,PATH WTC 2,1200,3452
493,02/24/2021,PATH NEW WTC,12564,12470
494,02/25/2021,NEWARK HW BMEBE,963,1553
495,02/25/2021,HARRISON,2243,2564
496,02/25/2021,JOURNAL SQUARE,9119,7189
497,02/25/2021,GROVE STREET,3739,4231
498,02/25/2021,EXCHANGE PLACE,2857,3402
499,02/25/2021,PAVONIA/NEWPORT,2626,3037
500,02/25/2021,CITY / BUS,3322,3436
501,02/25/2021,CHRISTOPHER ST,1003,1179
502,02/25/2021,9TH STREET,1032,1338
503,02/25/2021,14TH STREET,2085,2715
504,02/25/2021,TWENTY THIRD ST,1816,2379
505,02/25/2021,THIRTY ST,2696,2605
506,02/25/2021,LACKAWANNA,1307,1679
507,02/25/2021,THIRTY THIRD ST,4607,3425
508,02/25/2021,NEWARK BM BW,5473,325
509,02/25/2021,NEWARK C,1109,282
510,02/25/2021,NEWARK HM HE,0,5928
511,02/25/2021,PATH WTC 2,1157,3484
512,02/25/2021,PATH NEW WTC,12355,12087
513,02/26/2021,NEWARK HW BMEBE,919,1639
514,02/26/2021,HARRISON,2113,2486
515,02/26/2021,JOURNAL SQUARE,9289,7224
516,02/26/2021,GROVE STREET,3762,4428
517,02/26/2021,EXCHANGE PLACE,2841,3464
518,02/26/2021,PAVONIA/NEWPORT,3119,3669
519,02/26/2021,CITY / BUS,3493,3485
520,02/26/2021,CHRISTOPHER ST,1050,1302
521,02/26/2021,9TH STREET,1071,1451
522,02/26/2021,14TH STREET,2206,2908
523,02/26/2021,TWENTY THIRD ST,1753,2339
524,02/26/2021,THIRTY ST,2760,2438
525,02/26/2021,LACKAWANNA,1167,1659
526,02/26/2021,THIRTY THIRD ST,4562,3667
527,02/26/2021,NEWARK BM BW,5454,281
528,02/26/2021,NEWARK C,1355,199
529,02/26/2021,NEWARK HM HE,0,6177
530,02/26/2021,PATH WTC 2,1083,2991
531,02/26/2021,PATH NEW WTC,12203,12579
532,02/13/2021,NEWARK HW BMEBE,294,653
533,02/13/2021,HARRISON,1034,1216
534,02/13/2021,JOURNAL SQUARE,5788,5011
535,02/13/2021,GROVE STREET,3247,4072
536,02/13/2021,EXCHANGE PLACE,1608,2052
537,02/13/2021,PAVONIA/NEWPORT,2296,2754
538,02/13/2021,CITY / BUS,2232,2600
539,02/13/2021,CHRISTOPHER ST,784,979
540,02/13/2021,9TH STREET,941,1293
541,02/13/2021,14TH STREET,1692,2060
542,02/13/2021,TWENTY THIRD ST,1021,1334
543,02/13/2021,THIRTY ST,1095,434
544,02/13/2021,LACKAWANNA,509,762
545,02/13/2021,THIRTY THIRD ST,3267,3798
546,02/13/2021,NEWARK BM BW,2929,307
547,02/13/2021,NEWARK C,448,232
548,02/13/2021,NEWARK HM HE,0,3312
549,02/13/2021,PATH WTC 2,804,2476
550,02/13/2021,PATH NEW WTC,6228,5863
551,02/14/2021,NEWARK HW BMEBE,215,525
552,02/14/2021,HARRISON,841,940
553,02/14/2021,JOURNAL SQUARE,4383,4044
554,02/14/2021,GROVE STREET,2483,2869
555,02/14/2021,EXCHANGE PLACE,1172,1515
556,02/14/2021,PAVONIA/NEWPORT,1919,2149
557,02/14/2021,CITY / BUS,1738,1982
558,02/14/2021,CHRISTOPHER ST,597,841
559,02/14/2021,9TH STREET,787,1099
560,02/14/2021,14TH STREET,1205,1557
561,02/14/2021,TWENTY THIRD ST,705,1065
562,02/14/2021,THIRTY ST,838,452
563,02/14/2021,LACKAWANNA,390,466
564,02/14/2021,THIRTY THIRD ST,2379,3143
565,02/14/2021,NEWARK BM BW,2160,307
566,02/14/2021,NEWARK C,266,256
567,02/14/2021,NEWARK HM HE,6,2555
568,02/14/2021,PATH WTC 2,667,1937
569,02/14/2021,PATH NEW WTC,4459,4528
